"","ID","Description","Count","GeneRatio","geneID"
"GO:0051775","GO:0051775","response to redox state",0,"0/30",""
"GO:0072376","GO:0072376","protein activation cascade",0,"0/30",""
"GO:0033036","GO:0033036","macromolecule localization",13,"13/30","TP53/EGFR/SIRT1/PARP1/MTOR/EP300/ABL1/MAPK8/NPM1/OGG1/CDK1/HMGB1/FTO"
"GO:0035732","GO:0035732","nitric oxide storage",0,"0/30",""
"GO:0051234","GO:0051234","establishment of localization",16,"16/30","TP53/EGFR/SIRT1/PARP1/BRCA2/MTOR/MLH1/EP300/ABL1/MAPK8/NPM1/OGG1/UBC/CDK2/HMGB1/WRN"
"GO:0051235","GO:0051235","maintenance of location",1,"1/30","FTO"
"GO:0051641","GO:0051641","cellular localization",16,"16/30","TP53/EGFR/SIRT1/PARP1/BRCA2/MTOR/MLH1/EP300/ABL1/MAPK8/NPM1/OGG1/UBC/CDK1/HMGB1/WRN"
"GO:0051674","GO:0051674","localization of cell",5,"5/30","EGFR/ABL1/MAPK8/CDK1/HMGB1"
"GO:1902579","GO:1902579","multi-organism localization",1,"1/30","UBC"
"GO:0009405","GO:0009405","pathogenesis",0,"0/30",""
"GO:0051707","GO:0051707","response to other organism",2,"2/30","ABL1/MAPK8"
"GO:0035821","GO:0035821","modification of morphology or physiology of other organism",1,"1/30","EP300"
"GO:0044366","GO:0044366","feeding on or from other organism",0,"0/30",""
"GO:0044419","GO:0044419","interspecies interaction between organisms",7,"7/30","TP53/SIRT1/ERCC2/EP300/NPM1/UBC/H2AFX"
"GO:0051703","GO:0051703","intraspecies interaction between organisms",0,"0/30",""
"GO:0098740","GO:0098740","multi organism cell adhesion",0,"0/30",""
"GO:0050789","GO:0050789","regulation of biological process",29,"29/30","TP53/BRCA1/EGFR/SIRT1/PARP1/ATM/MGMT/BRCA2/MTOR/MLH1/APEX1/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/ERCC1/OGG1/UBC/CHEK2/CDK1/RAD51/CDK2/H2AFX/HMGB1/WRN/FTO"
"GO:0065008","GO:0065008","regulation of biological quality",17,"17/30","TP53/SIRT1/PARP1/MTOR/APEX1/PCNA/ERCC2/EP300/ABL1/MAPK8/ERCC1/UBC/CHEK2/CDK2/HMGB1/WRN/FTO"
"GO:0065009","GO:0065009","regulation of molecular function",19,"19/30","TP53/EGFR/SIRT1/PARP1/ATM/MGMT/MTOR/PCNA/ERCC2/EP300/MSH2/ABL1/MAPK8/NPM1/UBC/CDK1/CDK2/HMGB1/WRN"
"GO:0044085","GO:0044085","cellular component biogenesis",14,"14/30","TP53/BRCA1/SIRT1/MTOR/MLH1/ERCC2/EP300/ABL1/NPM1/UBC/CHEK2/RAD51/H2AFX/HMGB1"
"GO:0001502","GO:0001502","cartilage condensation",0,"0/30",""
"GO:0098630","GO:0098630","aggregation of unicellular organisms",0,"0/30",""
